id,category,pattern_name,description,why_bad,alternative,severity
1,layout,standard-hero-split,"Left text + right image/illustration 50/50","Most overused layout since 2020. Screams 'template'.","Asymmetric 90/10, massive typography hero, vertical narrative, overlapping layers",critical
2,layout,three-column-icon-grid,"3 equal columns with icon + heading + text","Every SaaS landing page default. Zero memorability.","Staggered cards, bento asymmetric, timeline flow, diagonal layout",critical
3,layout,centered-everything,"All content center-aligned, symmetrical","Safe but forgettable. No visual tension or hierarchy.","Off-center composition, left-heavy asymmetry, edge-anchored elements",high
4,layout,predictable-section-flow,"Hero → Features → Testimonials → Pricing → CTA → Footer in exact order","Cookie-cutter structure. Users know what comes next.","Interrupt with unexpected sections, embed CTA mid-content, story-driven flow",medium
5,layout,equal-grid-cards,"Uniform grid of identical cards with same dimensions","Monotonous rhythm, no visual surprise.","Varied card sizes, masonry, overlapping cards, featured card breakout",high
6,color,purple-gradient-default,"Purple/violet/indigo as AI-default choice (not explicitly requested)","#1 AI-generated color. When chosen without user input, instantly signals 'AI made this'. When explicitly chosen by user or matching brand (Twitch/Figma/GitHub) it's perfectly valid.","Ask user first. If no preference: deep red, acid green, warm orange, monochrome black, earth tones",high
7,color,blue-white-safe,"Light blue primary + white background + gray text","Generic fintech/SaaS palette. 90% of AI output uses this.","High contrast pairs: black+neon, navy+gold, forest+cream",critical
8,color,pastel-everything,"Soft muted pastels across all elements","Looks unfinished, lacks confidence. No visual punch.","Saturated accent on muted base, dopamine color pops, high-contrast duotone",high
9,color,mesh-gradient-bg,"Colorful mesh/aurora gradient backgrounds","Was trendy in 2022, now an AI cliché.","Solid colors with grain texture, sharp geometric patterns, photographic backgrounds",high
10,color,glassmorphism-default,"Blur + transparency + thin border cards","Overused since iOS 7. AI loves it. Users are bored.","Solid cards with shadows, neumorphic depth, raw borders, paper texture",medium
11,typography,inter-roboto-default,"Inter or Roboto as primary font","The most 'AI default' font choice. Zero personality.","Space Grotesk, Clash Display, Satoshi, Cabinet Grotesk, custom variable fonts",critical
12,typography,same-size-hierarchy,"All headings similar size, weak hierarchy","No visual drama. Content feels flat.","Extreme size contrast: 120px H1 + 16px body, typographic scale ratio 1.618+",high
13,typography,centered-body-text,"Long paragraphs center-aligned","Hard to read, looks amateurish beyond 2 lines.","Left-aligned body, max-width 65ch, proper reading rhythm",high
14,typography,no-display-font,"Only using system/UI fonts for everything","Misses opportunity for brand personality.","Display font for headings + UI font for body. Contrast creates character.",medium
15,animation,fade-in-only,"Only opacity transitions on elements","Bare minimum effort. Not 'animated', just 'appearing'.","Spring physics, stagger reveals, scroll-driven parallax, kinetic typography",critical
16,animation,opacity-hover,"Hover effect is just opacity: 0.8","Lazy interaction. No physical feedback.","Scale + translateY + shadow shift, magnetic cursor effect, color morph",high
17,animation,no-scroll-animation,"Static page with no scroll-triggered effects","Dead page. No engagement. Users scroll and leave.","Scroll-driven animations API, intersection observer reveals, parallax layers",critical
18,animation,linear-easing,"All animations use linear or ease timing","Robotic movement. No organic feel.","Spring physics (mass/stiffness/damping), custom cubic-bezier, step easing for retro",medium
19,animation,everything-bounces,"Excessive bounce/elastic on every element","Distracting, unprofessional, carnival feel.","Reserve bounce for CTAs only. Use subtle spring for everything else.",medium
20,component,generic-testimonial-carousel,"Auto-rotating testimonial slider with stars","Most ignored section on any website. Template energy.","Video testimonials, tweet embeds, case study cards, metric-based proof",high
21,component,stock-illustration-hero,"Abstract vector illustration in hero section","Humaaans/unDraw style = instant 'startup template' feel.","Custom photography, 3D renders, kinetic typography, data visualization",critical
22,component,hamburger-on-desktop,"Hiding navigation behind hamburger on desktop","Reduces discoverability, looks lazy.","Full nav bar, mega menu, sidebar navigation for complex apps",medium
23,component,cookie-cutter-footer,"4-column footer with lorem ipsum links","Afterthought design. No brand closure.","Branded footer with CTA, animated background, creative layout",low
24,component,generic-pricing-table,"3-column pricing with 'Popular' badge on middle","Most AI-generated pattern. Users immune to it.","Interactive pricing slider, feature comparison tool, use-case based tiers",high
25,copy,empower-elevate-seamless,"Using words: Empower, Elevate, Seamless, Orchestrate, Leverage","Corporate AI buzzwords. Zero meaning to users.","Specific verbs: Ship, Build, Track, Save. Concrete benefits over abstractions.",critical
26,copy,rapidly-evolving-landscape,"Opening with 'In today's rapidly evolving...'","#1 AI slop indicator. Reader closes tab.","Start with a surprising stat, provocative question, or bold claim.",critical
27,copy,lorem-ipsum-shipped,"Placeholder text left in production","Screams unfinished. Trust killer.","Real content always. Even draft copy is better than lorem ipsum.",critical
28,spacing,uniform-padding,"Same padding/margin everywhere (p-8 or p-6)","Monotonous rhythm. No breathing room variation.","Vary spacing: tight groups for related items, generous space for separation. Use 8px grid.",medium
29,spacing,no-negative-space,"Every area filled with content/elements","Cluttered, overwhelming, no focus point.","Strategic whitespace: let key elements breathe. 40%+ negative space in hero.",high
30,ux,no-loading-states,"Content appears with no transition or skeleton","Jarring experience. Feels broken during load.","Skeleton screens, progressive image loading, shimmer effects",high
31,ux,no-error-states,"No visual feedback for errors/empty states","Users confused when things go wrong.","Friendly error illustrations, inline validation, helpful empty states",high
32,ux,infinite-scroll-no-indicator,"Content loads with no progress indicator","Users don't know if more content exists.","Load more button, progress bar, 'Showing X of Y' counter",medium
