name,url,sector,style_category,why_masterpiece,standout_feature,matching_personas,year_noted
Lando Norris,https://landonorris.com,Other (Sports/Personal Brand),Cinematic,"Awwwards Site of Year 2025 - immersive F1 storytelling",WebGL 3D car renders with scroll interaction,"Bold Visionary,Cinematic Storyteller,Sports Brand",2025
Scout Motors,https://www.scoutmotors.com,E-commerce / Brand / Luxury,Cinematic,"Awwwards E-commerce of Year 2025 - automotive narrative",Full-screen video transitions with parallax depth,"Dark Luxury,Automotive,Bold Visionary",2025
Linear,https://linear.app,SaaS / Tech Startup,Dark Luxury,"Gold standard dark mode SaaS - every pixel calibrated",Subtle glow animations and precision micro-interactions,"Developer-First,Swiss Minimalist,Dark Luxury",2025
Stripe,https://stripe.com,SaaS / Tech Startup,Liquid Digital,"Gradient storytelling redefines developer-focused fintech",Animated gradient mesh background with code previews,"Developer-First,Liquid Digital,Corporate Elegant",2025
Vercel,https://vercel.com,SaaS / Tech Startup,Dark Luxury,"Performance-first dark UI reflecting speed and sophistication",Real-time deployment animations and Geist design system,"Developer-First,Swiss Minimalist,Futuristic",2025
Raycast,https://www.raycast.com,SaaS / Tech Startup,Dark Luxury,"Keyboard-first productivity tool with premium dark aesthetic",Smooth command palette animations and theme previews,"Developer-First,Dark Luxury,Minimalist",2025
Notion,https://www.notion.com,SaaS / Tech Startup,Swiss Minimalist,"Clean productivity canvas - simplicity as ultimate sophistication",Seamless page transitions and inline database previews,"Swiss Minimalist,Corporate Elegant,Productivity",2025
Figma,https://www.figma.com,SaaS / Tech Startup,Playful,"Collaborative design tool with vibrant playful energy",Interactive feature demos with live multiplayer cursors,"Playful,Creative Professional,Collaborative",2025
Pitch,https://pitch.com,SaaS / Tech Startup,Swiss Minimalist,"Presentation SaaS with impeccable design-forward identity",Slide preview animations and real-time collaboration UI,"Swiss Minimalist,Corporate Elegant,Creative Professional",2025
Resend,https://resend.com,SaaS / Tech Startup,Dark Luxury,"Developer email API with strikingly beautiful dark interface",Code-to-email animation transitions,"Developer-First,Dark Luxury,Typographic",2025
Clerk,https://clerk.com,SaaS / Tech Startup,Swiss Minimalist,"Developer auth with premium UI blending docs and marketing",Interactive component playground with live code,"Developer-First,Swiss Minimalist,Playful",2025
Supabase,https://supabase.com,SaaS / Tech Startup,Dark Luxury,"Open source Firebase alternative with stunning dark design",Real-time database visualization and neon accent system,"Developer-First,Dark Luxury,Futuristic",2025
Cal.com,https://cal.com,SaaS / Tech Startup,Swiss Minimalist,"Open source scheduling with clean modern interface",Calendar widget micro-interactions and booking flow,"Swiss Minimalist,Developer-First,Minimalist",2025
Framer,https://www.framer.com,SaaS / Tech Startup,Futuristic,"No-code builder that practices what it preaches beautifully",3D website previews with real-time editing animations,"Creative Professional,Futuristic,Bold Visionary",2025
Spline,https://spline.design,SaaS / Tech Startup,Futuristic,"3D design tool with mesmerizing dark interface and 3D demos",Interactive 3D scene previews embedded in landing page,"Futuristic,Creative Professional,3D Artist",2025
Immersive Garden,https://immersive-g.com,Portfolio / Agency / Creative,Cinematic,"Awwwards Agency of Year 2025 - decade of digital craft",WebGL scene transitions between project showcases,"Cinematic Storyteller,Bold Visionary,Creative Professional",2025
Malvah Studio,https://malvah.co,Portfolio / Agency / Creative,Typographic,"Awwwards Studio of Year 2025 - Cape Town design excellence",Bold typographic layouts with smooth page transitions,"Typographic,Minimalist,Creative Professional",2025
Locomotive,https://locomotive.ca,Portfolio / Agency / Creative,Experimental,"7x Awwwards Agency of Year - unmatched consistency",Custom scroll library (Locomotive Scroll) powering smooth UX,"Experimental,Bold Visionary,Creative Professional",2025
Lusion,https://lusion.co,Portfolio / Agency / Creative,Experimental,"Award-winning 3D storytelling studio pushing WebGL boundaries",Real-time WebGL environments with interactive physics,"Experimental,3D Artist,Cinematic Storyteller",2025
Bruno Simon,https://bruno-simon.com,Portfolio / Agency / Creative,Playful,"Legendary 3D portfolio - drive a car through your resume",Three.js 3D game as portfolio navigation,"Playful,3D Artist,Experimental",2025
Obys Agency,https://obys.agency,Portfolio / Agency / Creative,Typographic,"Awwwards Studio of Year 2023 - typographic mastery",Kinetic typography with custom cursor interactions,"Typographic,Bold Visionary,Experimental",2025
Cuberto,https://cuberto.com,Portfolio / Agency / Creative,Liquid Digital,"Top 10 global agency - fluid motion and transitions",Liquid hover effects and morphing page transitions,"Liquid Digital,Creative Professional,Bold Visionary",2025
Louis Paquet,https://louispaquet.com,Portfolio / Agency / Creative,Experimental,"Awwwards Independent of Year 2025 - 50+ SOTD awards",Experimental layout compositions with custom animations,"Experimental,Bold Visionary,Creative Professional",2025
Samsy Ninja,https://samsy.ninja,Portfolio / Agency / Creative,Experimental,"Paris creative technologist with 50+ international awards",Computational 3D design with interactive particles,"Experimental,3D Artist,Futuristic",2025
Cyd Stumpel,https://cydstumpel.nl,Portfolio / Agency / Creative,Experimental,"Pioneer of CSS scroll-driven animations and view transitions",Native CSS scroll-driven animations and view transitions,"Experimental,Developer-First,Creative Professional",2025
Nicola Romei,https://www.nicolaromei.com,Portfolio / Agency / Creative,Cinematic,"Awwwards judge crafting immersive sites with strong direction",Refined motion design with distinct visual signature,"Cinematic Storyteller,Minimalist,Creative Professional",2026
