id,name,style_family,color_palette,typography,layout_philosophy,animation_style,geometry,suitable_sectors,emotion_profile,risk_level,anti_patterns,signature_element,css_features,description
brutalist-rebel,The Brutalist Rebel,Brutalist,"#000000,#FF0000,#FFFFFF,#333333","Space Mono + Inter | Monospace headers 96px+","Raw asymmetric blocks with exposed grid lines","Glitch effects on scroll, no easing — instant cuts","Sharp 0px radius, raw borders 2-4px, exposed structure","tech,startup,agency,editorial","Power + Disruption + Authenticity",5,"No rounded corners, no pastels, no centered layouts, no gradients","Exposed CSS grid lines visible as design element","scroll-timeline,view-transitions","Raw industrial aesthetic that rejects polish. Every element feels deliberately unfinished yet precisely placed."
swiss-precision,The Swiss Precision,Minimal,"#FAFAFA,#1A1A1A,#E5E5E5,#0066FF","Helvetica Neue + system-ui | Strict typographic scale 1.25","Mathematical grid with golden ratio spacing","Subtle fade-ins with 300ms ease-out, no bounce","Clean 0px radius, hairline borders 1px, geometric","corporate,finance,saas,consulting","Trust + Clarity + Intelligence",1,"No decorative elements, no gradients, no animations longer than 500ms","Perfect whitespace — content breathes with mathematical precision","container-queries,anchor-positioning","Disciplined Swiss International style. Typography and grid do all the heavy lifting."
neon-noir,Neon Noir Architect,Futuristic,"#0A0A0A,#00FF88,#FF006E,#1A1A2E","JetBrains Mono + Outfit | Neon glow on dark canvas","Layered depth with z-axis overlap and floating panels","Glow pulse on hover, parallax depth layers, terminal-style typing","Sharp 2px radius, neon border-glow, clipped diagonal sections","tech,gaming,crypto,cybersecurity","Mystery + Innovation + Edge",4,"No light backgrounds, no serif fonts, no organic shapes","Neon accent glow that pulses like a heartbeat on key elements","scroll-timeline,view-transitions,anchor-positioning","Dark cyberpunk aesthetic with neon accents. Feels like a developer's dream interface."
warm-earth,The Warm Earth,Organic,"#F5F0EB,#8B6F47,#2D5016,#D4A574,#1A1A1A","Lora + Source Sans 3 | Serif warmth with readable body","Flowing sections with natural curves and organic spacing","Gentle parallax, leaf-like float animations, smooth reveals","Organic blob radius 24-48px, irregular shapes, natural curves","health,wellness,food,sustainability,education","Warmth + Trust + Growth",2,"No sharp corners, no neon colors, no grid rigidity, no tech aesthetic","Hand-drawn texture overlays that add craft and human touch","scroll-timeline,container-queries","Nature-inspired design that feels handcrafted. Every element breathes organic warmth."
retro-arcade,The Retro Arcade,Retro,"#FFD700,#FF4500,#1B0033,#00CED1","Press Start 2P + VT323 | Pixel font headers, readable body","Grid-based pixel art layout with scanline overlays","Step-function easing, pixel-by-pixel reveals, CRT flicker","Pixel-perfect 0px radius, chunky borders 4px, 8-bit aesthetic","gaming,entertainment,indie,nostalgia","Fun + Nostalgia + Energy",4,"No smooth gradients, no modern minimalism, no subtle animations","CRT scanline overlay + pixel art transitions between sections","view-transitions,scroll-timeline","80s arcade meets modern web. Pixel-perfect nostalgia with genuine retro constraints."
editorial-ink,The Editorial Ink,Editorial,"#FFFFF0,#1A1A1A,#8B0000,#C8B560","Playfair Display + Source Serif 4 | Newspaper column typography","Multi-column editorial grid with pull quotes and dropcaps","Ink-spread reveals on scroll, page-turn transitions","Mixed: sharp columns with decorative serif flourishes","media,publishing,editorial,luxury,culture","Sophistication + Authority + Depth",3,"No sans-serif only, no full-width sections, no tech aesthetic","Large decorative dropcaps and pull quotes that break the grid","view-transitions,container-queries,column-rule","Classic editorial design reimagined for digital. Feels like reading a premium magazine."
candy-pop,The Candy Pop,Playful,"#FF69B4,#00BFFF,#FFE135,#FF6B6B,#FFFFFF","Fredoka + Nunito | Rounded bouncy display + friendly body","Scattered layout with tilted cards and sticker-like elements","Bounce physics, wobble on hover, confetti bursts on click","Super rounded 24-32px, blob shapes, playful rotation 2-5deg","kids,education,social,lifestyle,food","Joy + Playfulness + Energy",3,"No dark themes, no sharp edges, no corporate feel, no monochrome","Sticker-peel hover effect on cards — elements feel physical","scroll-timeline,view-transitions","Pure dopamine design. Every interaction rewards with playful feedback and surprise."
dark-luxury,The Dark Sovereign,Luxury,"#0D0D0D,#C9A96E,#1A1A1A,#F5F5F5","Cormorant Garamond + Inter | Thin elegant serif + clean sans","Generous negative space with centered focal points","Slow reveal with 600ms ease, gold shimmer on key elements","Sharp 0px radius, thin gold borders 1px, minimal geometry","luxury,fashion,jewelry,automotive,hospitality","Exclusivity + Prestige + Desire",2,"No bright colors, no playful elements, no busy layouts, no rounded corners","Gold foil texture accent that catches light on scroll","scroll-timeline,view-transitions","Ultra-premium dark aesthetic. Less is more — every element earns its place."
bauhaus-grid,The Bauhaus Grid,Artistic,"#FFFFFF,#000000,#FF0000,#FFCC00,#0000FF","DM Sans + Space Grotesk | Geometric sans with strong weight contrast","Strict geometric grid with primary color blocks","Geometric slide-ins, rotate reveals, grid recomposition on scroll","Pure geometric: circles squares triangles, 0px radius","art,gallery,architecture,design,education","Intellectual + Creative + Bold",4,"No organic shapes, no gradients, no decorative fonts, no photography-heavy","Primary color blocks that shift and recompose on scroll like Mondrian","scroll-timeline,container-queries,view-transitions","Bauhaus principles applied to digital. Form follows function with geometric conviction."
liquid-aurora,The Liquid Aurora,Experimental,"#0F0F23,#667EEA,#764BA2,#F093FB,#4FACFE","Sora + Inter | Clean modern with fluid feel","Full-bleed sections with morphing backgrounds","Fluid morph animations, liquid blob transitions, aurora shimmer","Soft 16px radius, morphing blob borders, fluid shapes","creative,music,art,startup,tech","Wonder + Creativity + Flow",4,"No rigid grids, no sharp corners, no static backgrounds, no corporate feel","Living gradient background that responds to mouse movement","scroll-timeline,view-transitions,container-queries","Mesmerizing liquid aesthetic where backgrounds are alive. Every visit feels different."
